ntaname,alive,alive_rank,alive/area,alive/area_rank
Upper East Side-Carnegie Hill,4540.0,2.0,0.00022626092448584057,1.0
Central Harlem South,2581.0,8.0,0.00017878675813019478,2.0
Upper West Side,5723.0,1.0,0.00016645796052251207,3.0
Yorkville,2133.0,14.0,0.00015689845927025118,4.0
Gramercy,1125.0,25.0,0.00014937352930795633,5.0
West Village,3715.0,3.0,0.00014859687333098674,6.0
Hamilton Heights,2296.0,11.0,0.00014266374105483359,7.0
East Village,1506.0,21.0,0.0001382223113488007,8.0
Central Harlem North-Polo Grounds,3355.0,4.0,0.00013206880436426784,9.0
Morningside Heights,2642.0,7.0,0.00013106252682935682,10.0
Lincoln Square,2008.0,16.0,0.00012704303330447498,11.0
Turtle Bay-East Midtown,2185.0,13.0,0.00012559007069541962,12.0
Washington Heights South,2788.0,6.0,0.00012069147687831348,13.0
Murray Hill-Kips Bay,1661.0,20.0,0.000114822165886745,14.0
East Harlem South,1877.0,18.0,0.00011272773723860178,15.0
Washington Heights North,2519.0,9.0,0.00011115370052050499,16.0
Lenox Hill-Roosevelt Island,2215.0,12.0,0.00010301575761894053,17.0
Clinton,1884.0,17.0,0.00010249502359482129,18.0
East Harlem North,2398.0,10.0,9.789585200222906e-05,19.0
Chinatown,1408.0,23.0,9.709037051096507e-05,20.0
SoHo-TriBeCa-Civic Center-Little Italy,2101.0,15.0,8.451474121676308e-05,21.0
Manhattanville,865.0,27.0,8.124294992975711e-05,22.0
Marble Hill-Inwood,1438.0,22.0,8.112687959865492e-05,23.0
Lower East Side,1845.0,19.0,7.919265283789253e-05,24.0
Stuyvesant Town-Cooper Village,438.0,28.0,7.856174994895207e-05,25.0
Hudson Yards-Chelsea-Flatiron-Union Square,2797.0,5.0,7.55339076167522e-05,26.0
Battery Park City-Lower Manhattan,1264.0,24.0,6.632992227878127e-05,27.0
Midtown-Midtown South,1120.0,26.0,3.709584951067649e-05,28.0
park-cemetery-etc-Manhattan,,,,
